time	species	transcript
41	protein3	3.2800000000000002
42	protein1	1.68
42	protein2	5.46
42	protein3	3.36
43	protein1	1.72
43	protein2	5.59
43	protein3	3.44
44	protein1	1.76
44	protein2	5.720000000000001
44	protein3	3.52
45	protein1	1.8
45	protein2	5.8500000000000005
45	protein3	3.6
46	protein1	1.84
46	protein2	5.98
46	protein3	3.68
47	protein1	1.8800000000000001
47	protein2	6.11
47	protein3	3.7600000000000002
48	protein1	1.92
48	protein2	6.24
48	protein3	3.84
49	protein1	1.96
49	protein2	6.37
49	protein3	3.92
50	protein1	2.0
50	protein2	6.5
50	protein3	4.0
51	protein1	2.04
51	protein2	6.63
51	protein3	4.08
52	protein1	2.08
52	protein2	6.76
52	protein3	4.16
53	protein1	2.12
53	protein2	6.890000000000001
53	protein3	4.24
54	protein1	2.16
54	protein2	7.0200000000000005
54	protein3	4.32
55	protein1	2.2
55	protein2	7.15
55	protein3	4.4
56	protein1	2.24
56	protein2	7.28
56	protein3	4.48
57	protein1	2.2800000000000002
57	protein2	7.41
57	protein3	4.5600000000000005
58	protein1	2.32
58	protein2	7.54
58	protein3	4.64
59	protein1	2.36
59	protein2	7.67
59	protein3	4.72
60	protein1	2.4
60	protein2	7.800000000000001
60	protein3	4.8
61	protein1	2.44
61	protein2	7.930000000000001
61	protein3	4.88
62	protein1	2.48
62	protein2	8.06
62	protein3	4.96
63	protein1	2.52
63	protein2	8.19
63	protein3	5.04
64	protein1	2.56
64	protein2	8.32
64	protein3	5.12
65	protein1	2.6
65	protein2	8.450000000000001
65	protein3	5.2
66	protein1	2.64
66	protein2	8.58
66	protein3	5.28
67	protein1	2.68
67	protein2	8.71
67	protein3	5.36
68	protein1	2.72
68	protein2	8.84
68	protein3	5.44
69	protein1	2.7600000000000002
69	protein2	8.97
69	protein3	5.5200000000000005
70	protein1	2.8000000000000003
70	protein2	9.1
70	protein3	5.6000000000000005
71	protein1	2.84
71	protein2	9.23
71	protein3	5.68
72	protein1	2.88
72	protein2	9.36
72	protein3	5.76
73	protein1	2.92
73	protein2	9.49
73	protein3	5.84
74	protein1	2.96
74	protein2	9.620000000000001
74	protein3	5.92
75	protein1	3.0
75	protein2	9.75
75	protein3	6.0
76	protein1	3.04
76	protein2	9.88
76	protein3	6.08
77	protein1	3.08
77	protein2	10.01
77	protein3	6.16
78	protein1	3.12
78	protein2	10.14
78	protein3	6.24
79	protein1	3.16
79	protein2	10.27
79	protein3	6.32
80	protein1	3.2
80	protein2	10.4
80	protein3	6.4
81	protein1	3.24
81	protein2	10.530000000000001
81	protein3	6.48
82	protein1	3.2800000000000002
82	protein2	10.66
82	protein3	6.5600000000000005
83	protein1	3.3200000000000003
83	protein2	10.790000000000001
83	protein3	6.640000000000001
84	protein1	3.36
84	protein2	10.92
84	protein3	6.72
85	protein1	3.4
85	protein2	11.05
85	protein3	6.8
86	protein1	3.44
86	protein2	11.18
86	protein3	6.88
87	protein1	3.48
87	protein2	11.31
87	protein3	6.96
88	protein1	3.52
88	protein2	11.440000000000001
88	protein3	7.04
89	protein1	3.56
89	protein2	11.57
89	protein3	7.12
90	protein1	3.6
90	protein2	11.700000000000001
90	protein3	7.2
91	protein1	3.64
91	protein2	11.83
91	protein3	7.28
92	protein1	3.68
92	protein2	11.96
92	protein3	7.36
93	protein1	3.72
93	protein2	12.09
93	protein3	7.44
94	protein1	3.7600000000000002
94	protein2	12.22
94	protein3	7.5200000000000005
95	protein1	3.8000000000000003
95	protein2	12.35
95	protein3	7.6000000000000005
96	protein1	3.84
96	protein2	12.48
96	protein3	7.68
97	protein1	3.88
97	protein2	12.610000000000001
97	protein3	7.76
98	protein1	3.92
98	protein2	12.74
98	protein3	7.84
99	protein1	3.96
99	protein2	12.870000000000001
99	protein3	7.92
100	protein1	4.0
100	protein2	13.0
100	protein3	8.0
101	protein1	4.04
101	protein2	13.13
101	protein3	8.08
102	protein1	4.08
102	protein2	13.26
102	protein3	8.16
103	protein1	4.12
103	protein2	13.39
103	protein3	8.24
104	protein1	4.16
104	protein2	13.52
104	protein3	8.32
105	protein1	4.2
105	protein2	13.65
105	protein3	8.4
106	protein1	4.24
106	protein2	13.780000000000001
106	protein3	8.48
107	protein1	4.28
107	protein2	13.91
107	protein3	8.56
108	protein1	4.32
108	protein2	14.040000000000001
108	protein3	8.64
109	protein1	4.36
109	protein2	14.17
109	protein3	8.72
110	protein1	4.4
110	protein2	14.3
110	protein3	8.8
111	protein1	4.44
111	protein2	14.43
111	protein3	8.88
112	protein1	4.48
112	protein2	14.56
112	protein3	8.96
113	protein1	4.5200000000000005
113	protein2	14.690000000000001
113	protein3	9.040000000000001
114	protein1	4.5600000000000005
114	protein2	14.82
114	protein3	9.120000000000001
115	protein1	4.6000000000000005
115	protein2	14.950000000000001
115	protein3	9.200000000000001
116	protein1	4.64
116	protein2	15.08
116	protein3	9.28
117	protein1	4.68
117	protein2	15.21
117	protein3	9.36
118	protein1	4.72
118	protein2	15.34
118	protein3	9.44
119	protein1	4.76
119	protein2	15.47
119	protein3	9.52
120	protein1	4.8
120	protein2	15.600000000000001
120	protein3	9.6
121	protein1	4.84
121	protein2	15.73
121	protein3	9.68
122	protein1	4.88
122	protein2	15.860000000000001
122	protein3	9.76
123	protein1	4.92
123	protein2	15.99
123	protein3	9.84
124	protein1	4.96
124	protein2	16.12
124	protein3	9.92
125	protein1	5.0
125	protein2	16.25
125	protein3	10.0
126	protein1	5.04
126	protein2	16.38
126	protein3	10.08
127	protein1	5.08
127	protein2	16.51
127	protein3	10.16
128	protein1	5.12
128	protein2	16.64
128	protein3	10.24
129	protein1	5.16
129	protein2	16.77
129	protein3	10.32
130	protein1	5.2
130	protein2	16.900000000000002
130	protein3	10.4
131	protein1	5.24
131	protein2	17.03
131	protein3	10.48
132	protein1	5.28
132	protein2	17.16
132	protein3	10.56
133	protein1	5.32
133	protein2	17.29
133	protein3	10.64
134	protein1	5.36
134	protein2	17.42
134	protein3	10.72
135	protein1	5.4
135	protein2	17.55
135	protein3	10.8
136	protein1	5.44
136	protein2	17.68
136	protein3	10.88
137	protein1	5.48
137	protein2	17.810000000000002
137	protein3	10.96
138	protein1	5.5200000000000005
138	protein2	17.94
138	protein3	11.040000000000001
139	protein1	5.5600000000000005
139	protein2	18.07
139	protein3	11.120000000000001
140	protein1	5.6000000000000005
140	protein2	18.2
140	protein3	11.200000000000001
141	protein1	5.64
141	protein2	18.330000000000002
141	protein3	11.28
142	protein1	5.68
142	protein2	18.46
142	protein3	11.36
143	protein1	5.72
143	protein2	18.59
143	protein3	11.44
144	protein1	5.76
144	protein2	18.72
144	protein3	11.52
145	protein1	5.8
145	protein2	18.85
145	protein3	11.6
146	protein1	5.84
146	protein2	18.98
146	protein3	11.68
147	protein1	5.88
147	protein2	19.11
147	protein3	11.76
148	protein1	5.92
148	protein2	19.240000000000002
148	protein3	11.84
149	protein1	5.96
149	protein2	19.37
149	protein3	11.92
150	protein1	6.0
150	protein2	19.5
150	protein3	12.0
151	protein1	6.04
151	protein2	19.63
151	protein3	12.08
152	protein1	6.08
152	protein2	19.76
152	protein3	12.16
153	protein1	6.12
153	protein2	19.89
153	protein3	12.24
154	protein1	6.16
154	protein2	20.02
154	protein3	12.32
155	protein1	6.2
155	protein2	20.150000000000002
155	protein3	12.4
156	protein1	6.24
156	protein2	20.28
156	protein3	12.48
157	protein1	6.28
157	protein2	20.41
157	protein3	12.56
158	protein1	6.32
158	protein2	20.54
158	protein3	12.64
159	protein1	6.36
159	protein2	20.67
159	protein3	12.72
160	protein1	6.4
160	protein2	20.8
160	protein3	12.8
161	protein1	6.44
161	protein2	20.93
161	protein3	12.88
162	protein1	6.48
162	protein2	21.060000000000002
162	protein3	12.96
163	protein1	6.5200000000000005
163	protein2	21.19
163	protein3	13.040000000000001
164	protein1	6.5600000000000005
164	protein2	21.32
164	protein3	13.120000000000001
165	protein1	6.6000000000000005
165	protein2	21.45
165	protein3	13.200000000000001
166	protein1	6.640000000000001
166	protein2	21.580000000000002
166	protein3	13.280000000000001
167	protein1	6.68
167	protein2	21.71
167	protein3	13.36
168	protein1	6.72
168	protein2	21.84
168	protein3	13.44
169	protein1	6.76
169	protein2	21.970000000000002
169	protein3	13.52
170	protein1	6.8
170	protein2	22.1
170	protein3	13.6
171	protein1	6.84
171	protein2	22.23
171	protein3	13.68
172	protein1	6.88
172	protein2	22.36
172	protein3	13.76
173	protein1	6.92
173	protein2	22.490000000000002
173	protein3	13.84
174	protein1	6.96
174	protein2	22.62
174	protein3	13.92
175	protein1	7.0
175	protein2	22.75
175	protein3	14.0
176	protein1	7.04
176	protein2	22.880000000000003
176	protein3	14.08
177	protein1	7.08
177	protein2	23.01
177	protein3	14.16
178	protein1	7.12
178	protein2	23.14
178	protein3	14.24
179	protein1	7.16
179	protein2	23.27
179	protein3	14.32
180	protein1	7.2
180	protein2	23.400000000000002
180	protein3	14.4
181	protein1	7.24
181	protein2	23.53
181	protein3	14.48
182	protein1	7.28
182	protein2	23.66
182	protein3	14.56
183	protein1	7.32
183	protein2	23.79
183	protein3	14.64
184	protein1	7.36
184	protein2	23.92
184	protein3	14.72
185	protein1	7.4
185	protein2	24.05
185	protein3	14.8
186	protein1	7.44
186	protein2	24.18
186	protein3	14.88
187	protein1	7.48
187	protein2	24.310000000000002
187	protein3	14.96
188	protein1	7.5200000000000005
188	protein2	24.44
188	protein3	15.040000000000001
189	protein1	7.5600000000000005
189	protein2	24.57
189	protein3	15.120000000000001
190	protein1	7.6000000000000005
190	protein2	24.7
190	protein3	15.200000000000001
191	protein1	7.640000000000001
191	protein2	24.830000000000002
191	protein3	15.280000000000001
192	protein1	7.68
192	protein2	24.96
192	protein3	15.36
193	protein1	7.72
193	protein2	25.09
193	protein3	15.44
194	protein1	7.76
194	protein2	25.220000000000002
194	protein3	15.52
195	protein1	7.8
195	protein2	25.35
195	protein3	15.6
196	protein1	7.84
196	protein2	25.48
196	protein3	15.68
197	protein1	7.88
197	protein2	25.61
197	protein3	15.76
198	protein1	7.92
198	protein2	25.740000000000002
198	protein3	15.84
199	protein1	7.96
199	protein2	25.87
199	protein3	15.92
200	protein1	8.0
200	protein2	26.0
200	protein3	16.0
201	protein1	8.040000000000001
201	protein2	26.0
201	protein3	16.080000000000002
202	protein1	8.08
202	protein2	26.0
202	protein3	16.16
203	protein1	8.120000000000001
203	protein2	26.0
203	protein3	16.240000000000002
204	protein1	8.16
204	protein2	26.0
204	protein3	16.32
205	protein1	8.2
205	protein2	26.0
205	protein3	16.4
206	protein1	8.24
206	protein2	26.0
206	protein3	16.48
207	protein1	8.28
207	protein2	26.0
207	protein3	16.56
208	protein1	8.32
208	protein2	26.0
208	protein3	16.64
209	protein1	8.36
209	protein2	26.0
209	protein3	16.72
210	protein1	8.4
210	protein2	26.0
210	protein3	16.8
211	protein1	8.44
211	protein2	26.0
211	protein3	16.88
212	protein1	8.48
212	protein2	26.0
212	protein3	16.96
213	protein1	8.52
213	protein2	26.0
213	protein3	17.04
214	protein1	8.56
214	protein2	26.0
214	protein3	17.12
215	protein1	8.6
215	protein2	26.0
215	protein3	17.2
216	protein1	8.64
216	protein2	26.0
216	protein3	17.28
217	protein1	8.68
217	protein2	26.0
217	protein3	17.36
218	protein1	8.72
218	protein2	26.0
218	protein3	17.44
219	protein1	8.76
219	protein2	26.0
219	protein3	17.52
220	protein1	8.8
220	protein2	26.0
220	protein3	17.6
221	protein1	8.84
221	protein2	26.0
221	protein3	17.68
222	protein1	8.88
222	protein2	26.0
222	protein3	17.76
223	protein1	8.92
223	protein2	26.0
223	protein3	17.84
224	protein1	8.96
224	protein2	26.0
224	protein3	17.92
225	protein1	9.0
225	protein2	26.0
225	protein3	18.0
226	protein1	9.040000000000001
226	protein2	26.0
226	protein3	18.080000000000002
227	protein1	9.08
227	protein2	26.0
227	protein3	18.16
228	protein1	9.120000000000001
228	protein2	26.0
228	protein3	18.240000000000002
229	protein1	9.16
229	protein2	26.0
229	protein3	18.32
230	protein1	9.200000000000001
230	protein2	26.0
230	protein3	18.400000000000002
231	protein1	9.24
231	protein2	26.0
231	protein3	18.48
232	protein1	9.28
232	protein2	26.0
232	protein3	18.56
233	protein1	9.32
233	protein2	26.0
233	protein3	18.64
234	protein1	9.36
234	protein2	26.0
234	protein3	18.72
235	protein1	9.4
235	protein2	26.0
235	protein3	18.8
236	protein1	9.44
236	protein2	26.0
236	protein3	18.88
237	protein1	9.48
237	protein2	26.0
237	protein3	18.96
238	protein1	9.52
238	protein2	26.0
238	protein3	19.04
239	protein1	9.56
239	protein2	26.0
239	protein3	19.12
240	protein1	9.6
240	protein2	26.0
240	protein3	19.2
241	protein1	9.64
241	protein2	26.0
241	protein3	19.28
242	protein1	9.68
242	protein2	26.0
242	protein3	19.36
243	protein1	9.72
243	protein2	26.0
243	protein3	19.44
244	protein1	9.76
244	protein2	26.0
244	protein3	19.52
245	protein1	9.8
245	protein2	26.0
245	protein3	19.6
246	protein1	9.84
246	protein2	26.0
246	protein3	19.68
247	protein1	9.88
247	protein2	26.0
247	protein3	19.76
248	protein1	9.92
248	protein2	26.0
248	protein3	19.84
249	protein1	9.96
249	protein2	26.0
249	protein3	19.92
250	protein1	10.0
250	protein2	26.0
250	protein3	20.0
251	protein1	10.040000000000001
251	protein2	26.0
251	protein3	20.080000000000002
252	protein1	10.08
252	protein2	26.0
252	protein3	20.16
253	protein1	10.120000000000001
253	protein2	26.0
253	protein3	20.240000000000002
254	protein1	10.16
254	protein2	26.0
254	protein3	20.32
255	protein1	10.200000000000001
255	protein2	26.0
255	protein3	20.400000000000002
256	protein1	10.24
256	protein2	26.0
256	protein3	20.48
257	protein1	10.28
257	protein2	26.0
257	protein3	20.56
258	protein1	10.32
258	protein2	26.0
258	protein3	20.64
259	protein1	10.36
259	protein2	26.0
259	protein3	20.72
260	protein1	10.4
260	protein2	26.0
260	protein3	20.8
261	protein1	10.44
261	protein2	26.0
261	protein3	20.88
262	protein1	10.48
262	protein2	26.0
262	protein3	20.96
263	protein1	10.52
263	protein2	26.0
263	protein3	21.04
264	protein1	10.56
264	protein2	26.0
264	protein3	21.12
265	protein1	10.6
265	protein2	26.0
265	protein3	21.2
266	protein1	10.64
266	protein2	26.0
266	protein3	21.28
267	protein1	10.68
267	protein2	26.0
267	protein3	21.36
268	protein1	10.72
268	protein2	26.0
268	protein3	21.44
269	protein1	10.76
269	protein2	26.0
269	protein3	21.52
270	protein1	10.8
270	protein2	26.0
270	protein3	21.6
271	protein1	10.84
271	protein2	26.0
271	protein3	21.68
272	protein1	10.88
272	protein2	26.0
272	protein3	21.76
273	protein1	10.92
273	protein2	26.0
273	protein3	21.84
274	protein1	10.96
274	protein2	26.0
274	protein3	21.92
275	protein1	11.0
275	protein2	26.0
275	protein3	22.0
276	protein1	11.040000000000001
276	protein2	26.0
276	protein3	22.080000000000002
277	protein1	11.08
277	protein2	26.0
277	protein3	22.16
278	protein1	11.120000000000001
278	protein2	26.0
278	protein3	22.240000000000002
279	protein1	11.16
279	protein2	26.0
279	protein3	22.32
280	protein1	11.200000000000001
280	protein2	26.0
280	protein3	22.400000000000002
281	protein1	11.24
281	protein2	26.0
281	protein3	22.48
282	protein1	11.28
282	protein2	26.0
282	protein3	22.56
283	protein1	11.32
283	protein2	26.0
283	protein3	22.64
284	protein1	11.36
284	protein2	26.0
284	protein3	22.72
285	protein1	11.4
285	protein2	26.0
285	protein3	22.8
286	protein1	11.44
286	protein2	26.0
286	protein3	22.88
287	protein1	11.48
287	protein2	26.0
287	protein3	22.96
288	protein1	11.52
288	protein2	26.0
288	protein3	23.04
289	protein1	11.56
289	protein2	26.0
289	protein3	23.12
290	protein1	11.6
290	protein2	26.0
290	protein3	23.2
291	protein1	11.64
291	protein2	26.0
291	protein3	23.28
292	protein1	11.68
292	protein2	26.0
292	protein3	23.36
293	protein1	11.72
293	protein2	26.0
293	protein3	23.44
294	protein1	11.76
294	protein2	26.0
294	protein3	23.52
295	protein1	11.8
295	protein2	26.0
295	protein3	23.6
296	protein1	11.84
296	protein2	26.0
296	protein3	23.68
297	protein1	11.88
297	protein2	26.0
297	protein3	23.76
298	protein1	11.92
298	protein2	26.0
298	protein3	23.84
299	protein1	11.96
299	protein2	26.0
299	protein3	23.92
300	protein1	12.0
300	protein2	26.0
300	protein3	24.0
